,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Treasury Shares Number,,,0.0,0.0,,,
Ordinary Shares Number,15222259000.0,15337686000.0,15460223000.0,15550061000.0,15647868000.0,,
Share Issued,15222259000.0,15337686000.0,15460223000.0,15550061000.0,15647868000.0,,
Net Debt,75739000000.0,71895000000.0,67280000000.0,81123000000.0,80872000000.0,,
Total Debt,101304000000.0,104590000000.0,108040000000.0,123930000000.0,109280000000.0,,
Tangible Book Value,66708000000.0,74194000000.0,74100000000.0,62146000000.0,60274000000.0,,
Invested Capital,168012000000.0,178784000000.0,182140000000.0,173234000000.0,169554000000.0,,
Working Capital,-6189000000.0,4594000000.0,9719000000.0,-1742000000.0,-2304000000.0,,
Net Tangible Assets,66708000000.0,74194000000.0,74100000000.0,62146000000.0,60274000000.0,,
Capital Lease Obligations,,,,12842000000.0,,,
Common Stock Equity,66708000000.0,74194000000.0,74100000000.0,62146000000.0,60274000000.0,,
Total Capitalization,152904000000.0,166025000000.0,169188000000.0,157427000000.0,158345000000.0,,
Total Equity Gross Minority Interest,66708000000.0,74194000000.0,74100000000.0,62146000000.0,60274000000.0,,
Stockholders Equity,66708000000.0,74194000000.0,74100000000.0,62146000000.0,60274000000.0,,
Gains Losses Not Affecting Retained Earnings,-8416000000.0,-8960000000.0,-9378000000.0,-11452000000.0,-11801000000.0,,
Other Equity Adjustments,-8416000000.0,-8960000000.0,-9378000000.0,-11452000000.0,-11801000000.0,,
Retained Earnings,-4726000000.0,4339000000.0,8242000000.0,-214000000.0,1408000000.0,,
Capital Stock,79850000000.0,78815000000.0,75236000000.0,73812000000.0,70667000000.0,,
Common Stock,79850000000.0,78815000000.0,75236000000.0,73812000000.0,70667000000.0,,
Total Liabilities Net Minority Interest,264904000000.0,263217000000.0,279414000000.0,290437000000.0,274764000000.0,,
Total Non Current Liabilities Net Minority Interest,133280000000.0,139395000000.0,145441000000.0,145129000000.0,149801000000.0,,
Other Non Current Liabilities,47084000000.0,47564000000.0,50353000000.0,23124000000.0,51730000000.0,,
Tradeand Other Payables Non Current,,,,15457000000.0,,,
Long Term Debt And Capital Lease Obligation,86196000000.0,91831000000.0,95088000000.0,106548000000.0,98071000000.0,,
Long Term Capital Lease Obligation,,,,11267000000.0,,,
Long Term Debt,86196000000.0,91831000000.0,95088000000.0,95281000000.0,98071000000.0,,
Current Liabilities,131624000000.0,123822000000.0,133973000000.0,145308000000.0,124963000000.0,,
Other Current Liabilities,60889000000.0,57298000000.0,54611000000.0,48435000000.0,58897000000.0,,
Current Deferred Liabilities,8053000000.0,8012000000.0,8264000000.0,8061000000.0,8158000000.0,,
Current Deferred Revenue,8053000000.0,8012000000.0,8264000000.0,8061000000.0,8158000000.0,,
Current Debt And Capital Lease Obligation,15108000000.0,12759000000.0,12952000000.0,17382000000.0,11209000000.0,,
Current Capital Lease Obligation,,,,1575000000.0,,,
Current Debt,15108000000.0,12759000000.0,12952000000.0,15807000000.0,11209000000.0,,
Other Current Borrowings,12114000000.0,10762000000.0,10954000000.0,9822000000.0,7216000000.0,,
Commercial Paper,2994000000.0,1997000000.0,1998000000.0,5985000000.0,3993000000.0,,
Payables And Accrued Expenses,47574000000.0,45753000000.0,58146000000.0,71430000000.0,46699000000.0,,
Payables,47574000000.0,45753000000.0,58146000000.0,71430000000.0,46699000000.0,,
Total Tax Payable,,,,8819000000.0,,,
Income Tax Payable,,,,8819000000.0,,,
Accounts Payable,47574000000.0,45753000000.0,58146000000.0,62611000000.0,46699000000.0,,
Total Assets,331612000000.0,337411000000.0,353514000000.0,352583000000.0,335038000000.0,,
Total Non Current Assets,206177000000.0,208995000000.0,209822000000.0,209017000000.0,212379000000.0,,
