,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.159,0.158,0.159,0.149715,0.125,,
Normalized EBITDA,28202000000.0,30736000000.0,43221000000.0,30653000000.0,26050000000.0,,
Net Income From Continuing Operation Net Minority Interest,21448000000.0,23636000000.0,33916000000.0,22956000000.0,19881000000.0,,
Reconciled Depreciation,2850000000.0,2836000000.0,2848000000.0,2653000000.0,3052000000.0,,
Reconciled Cost Of Revenue,46099000000.0,48482000000.0,64720000000.0,49071000000.0,45384000000.0,,
EBITDA,28202000000.0,30736000000.0,43221000000.0,30653000000.0,26050000000.0,,
EBIT,25352000000.0,27900000000.0,40373000000.0,28000000000.0,22998000000.0,,
Net Interest Income,,,,-18000000.0,-18000000.0,-12000000.0,-135000000.0
Interest Expense,,,,1002000000.0,998000000.0,930000000.0,1003000000.0
Interest Income,,,,984000000.0,980000000.0,918000000.0,868000000.0
Normalized Income,21448000000.0,23636000000.0,33916000000.0,22956000000.0,19881000000.0,,
Net Income From Continuing And Discontinued Operation,21448000000.0,23636000000.0,33916000000.0,22956000000.0,19881000000.0,,
Total Expenses,60425000000.0,62853000000.0,79202000000.0,62529000000.0,58799000000.0,,
Total Operating Income As Reported,25352000000.0,27900000000.0,40373000000.0,26969000000.0,22998000000.0,,
Diluted Average Shares,15348175000.0,15464709000.0,15576641000.0,15672400000.0,15775021000.0,,
Basic Average Shares,15287521000.0,15405856000.0,15509763000.0,15599434000.0,15697614000.0,,
Diluted EPS,1.4,1.53,2.18,1.46,1.26,,
Basic EPS,1.4,1.53,2.19,1.47,1.27,,
Diluted NI Availto Com Stockholders,21448000000.0,23636000000.0,33916000000.0,22956000000.0,19881000000.0,,
Net Income Common Stockholders,21448000000.0,23636000000.0,33916000000.0,22956000000.0,19881000000.0,,
Net Income,21448000000.0,23636000000.0,33916000000.0,22956000000.0,19881000000.0,,
Net Income Including Noncontrolling Interests,21448000000.0,23636000000.0,33916000000.0,22956000000.0,19881000000.0,,
Net Income Continuous Operations,21448000000.0,23636000000.0,33916000000.0,22956000000.0,19881000000.0,,
Tax Provision,4046000000.0,4422000000.0,6407000000.0,4042000000.0,2852000000.0,,
Pretax Income,25494000000.0,28058000000.0,40323000000.0,26998000000.0,22733000000.0,,
Other Income Expense,142000000.0,158000000.0,-50000000.0,47000000.0,-265000000.0,,
Other Non Operating Income Expenses,142000000.0,158000000.0,-50000000.0,47000000.0,-265000000.0,,
Net Non Operating Interest Income Expense,,,,-18000000.0,-18000000.0,-12000000.0,-135000000.0
Interest Expense Non Operating,,,,1002000000.0,998000000.0,930000000.0,1003000000.0
Interest Income Non Operating,,,,984000000.0,980000000.0,918000000.0,868000000.0
Operating Income,25352000000.0,27900000000.0,40373000000.0,26969000000.0,22998000000.0,,
Operating Expense,14326000000.0,14371000000.0,14482000000.0,13458000000.0,13415000000.0,,
Research And Development,8006000000.0,7903000000.0,7696000000.0,7307000000.0,7442000000.0,,
Selling General And Administration,6320000000.0,6468000000.0,6786000000.0,6151000000.0,5973000000.0,,
Gross Profit,39678000000.0,42271000000.0,54855000000.0,40427000000.0,36413000000.0,,
Cost Of Revenue,46099000000.0,48482000000.0,64720000000.0,49071000000.0,45384000000.0,,
Total Revenue,85777000000.0,90753000000.0,119575000000.0,89498000000.0,81797000000.0,,
Operating Revenue,85777000000.0,90753000000.0,119575000000.0,89498000000.0,81797000000.0,,
