股票代码,股票名称,回购数量(股),最高回购价,最低回购价,回购平均价,回购总额(港元),日期
01810,小米集团-W,2850400.0,35.18,34.98,35.083,99999700.0,2026-03-18
01810,小米集团-W,2029000.0,33.3,33.16,33.267,67497700.0,2026-03-13
01810,小米集团-W,2307600.0,33.34,33.3,33.329,76909300.0,2026-03-12
01810,小米集团-W,3005600.0,33.32,33.22,33.269,99993600.0,2026-03-11
01810,小米集团-W,2977200.0000000005,33.68,33.4,33.588,99997000.0,2026-03-10
01810,小米集团-W,3156400.0,31.76,31.6,31.68,99996299.99999999,2026-03-03
01810,小米集团-W,3022799.9999999995,33.14,33.02,33.082,99999100.0,2026-03-02
01810,小米集团-W,2858200.0,35.04,34.92,34.986,99997300.0,2026-02-27
01810,小米集团-W,2832200.0000000005,35.42,35.22,35.307,99996800.0,2026-02-26
01810,小米集团-W,2809400.0,35.74,35.52,35.594,99996900.0,2026-02-25
01810,小米集团-W,2794200.0,35.92,35.64,35.788,99998000.0,2026-02-24
01810,小米集团-W,4282400.0,35.74,35.32,35.547,152225000.0,2026-02-20
01810,小米集团-W,1500000.0,36.5,36.38,36.469,54704100.0,2026-02-16
01810,小米集团-W,2700000.0,36.48,36.3,36.431,98363700.00000001,2026-02-13
01810,小米集团-W,4050000.0,36.78,36.5,36.613,148283300.0,2026-02-12
01810,小米集团-W,1500000.0,35.24,35.04,35.151,52726800.0,2026-02-09
01810,小米集团-W,750000.0,35.0,34.76,34.944,26208000.0,2026-02-06
01810,小米集团-W,4300000.0,34.02,33.94,33.978,146103400.0,2026-02-04
01810,小米集团-W,3000000.0,34.92,34.62,34.778,104334000.0,2026-02-03
1810,小米集团-W,6000000.0,35.0,34.54,34.874,209243900.0,2026-02-02
1810,小米集团-W,4200000.0,35.76,35.6,35.675,149834800.0,2026-01-30
1810,小米集团-W,3987200.000000001,35.22,35.04,35.203,140361400.0,2026-01-26
1810,小米集团-W,5713800.0,35.24,34.92,35.131,200733900.0,2026-01-22
1810,小米集团-W,7000000.0,35.48,35.22,35.389,247722900.0,2026-01-21
1810,小米集团-W,5500000.0,35.86,35.46,35.651,196079700.0,2026-01-20
1810,小米集团-W,4000000.0,36.52,36.36,36.456,145822600.0,2026-01-19
1810,小米集团-W,5900000.0,37.2,37.08,37.143,219141900.0,2026-01-16
1810,小米集团-W,3900000.0,37.92,37.86,37.892,147779800.0,2026-01-15
1810,小米集团-W,4000000.0,37.8,37.72,37.773,151090000.0,2026-01-14
1810,小米集团-W,4000000.0,38.04,37.94,38.002,152008800.0,2026-01-13
1810,小米集团-W,4000000.0,37.92,37.74,37.832,151326400.0,2026-01-09
1810,小米集团-W,5000000.0,38.16,38.04,38.116,190579900.00000003,2026-01-08
1810,小米集团-W,3900000.0,38.2,38.12,38.163,148836000.0,2026-01-07
1810,小米集团-W,3850000.0,38.9,38.86,38.875,149670000.0,2026-01-06
1810,小米集团-W,3800000.0,39.32,39.22,39.287,149291300.0,2026-01-05
1810,小米集团-W,3800000.0,39.3,39.14,39.217,149023100.0,2025-12-31
1810,小米集团-W,3900000.0,38.64,38.56,38.603,150552000.0,2025-12-29
