,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Free Cash Flow,26707000000.0,20694000000.0,37503000000.0,19435000000.0,24287000000.0,,
Repurchase Of Capital Stock,-26522000000.0,-23205000000.0,-20139000000.0,-21003000000.0,-17478000000.0,,
Repayment Of Debt,-3253000000.0,-3148000000.0,-3984000000.0,0.0,-5511000000.0,,
Issuance Of Debt,,,,0.0,,,
Capital Expenditure,-2151000000.0,-1996000000.0,-2392000000.0,-2163000000.0,-2093000000.0,,
Interest Paid Supplemental Data,,,,1213000000.0,717000000.0,1170000000.0,703000000.0
Income Tax Paid Supplemental Data,4699000000.0,7276000000.0,7255000000.0,11659000000.0,2126000000.0,,
End Cash Position,26635000000.0,33921000000.0,41974000000.0,30737000000.0,29898000000.0,,
Beginning Cash Position,33921000000.0,41974000000.0,30737000000.0,29898000000.0,27129000000.0,,
Changes In Cash,-7286000000.0,-8053000000.0,11237000000.0,839000000.0,2769000000.0,,
Financing Cash Flow,-36017000000.0,-30433000000.0,-30585000000.0,-23153000000.0,-24048000000.0,,
Cash Flow From Continuing Financing Activities,-36017000000.0,-30433000000.0,-30585000000.0,-23153000000.0,-24048000000.0,,
Net Other Financing Charges,-2347000000.0,-370000000.0,-2637000000.0,-385000000.0,-2438000000.0,,
Cash Dividends Paid,-3895000000.0,-3710000000.0,-3825000000.0,-3758000000.0,-3849000000.0,,
Common Stock Dividend Paid,-3895000000.0,-3710000000.0,-3825000000.0,-3758000000.0,-3849000000.0,,
Net Common Stock Issuance,-26522000000.0,-23205000000.0,-20139000000.0,-21003000000.0,-17478000000.0,,
Common Stock Payments,-26522000000.0,-23205000000.0,-20139000000.0,-21003000000.0,-17478000000.0,,
Net Issuance Payments Of Debt,-3253000000.0,-3148000000.0,-3984000000.0,1993000000.0,-283000000.0,,
Net Short Term Debt Issuance,997000000.0,2000000.0,-3984000000.0,1993000000.0,1989000000.0,,
Short Term Debt Payments,997000000.0,2000000.0,-3984000000.0,,1989000000.0,254000000.0,
Net Long Term Debt Issuance,-4250000000.0,-3150000000.0,0.0,0.0,-2272000000.0,,
Long Term Debt Payments,-4250000000.0,-3150000000.0,0.0,0.0,-7500000000.0,,
Long Term Debt Issuance,,,,0.0,,,
Investing Cash Flow,-127000000.0,-310000000.0,1927000000.0,2394000000.0,437000000.0,,
Cash Flow From Continuing Investing Activities,-127000000.0,-310000000.0,1927000000.0,2394000000.0,437000000.0,,
Net Other Investing Changes,-388000000.0,-445000000.0,-284000000.0,-584000000.0,-506000000.0,,
Net Investment Purchase And Sale,2412000000.0,2131000000.0,4603000000.0,5141000000.0,3036000000.0,,
Sale Of Investment,15444000000.0,17393000000.0,14383000000.0,13698000000.0,12795000000.0,,
Purchase Of Investment,-13032000000.0,-15262000000.0,-9780000000.0,-8557000000.0,-9759000000.0,,
Net PPE Purchase And Sale,-2151000000.0,-1996000000.0,-2392000000.0,-2163000000.0,-2093000000.0,,
Purchase Of PPE,-2151000000.0,-1996000000.0,-2392000000.0,-2163000000.0,-2093000000.0,,
Operating Cash Flow,28858000000.0,22690000000.0,39895000000.0,21598000000.0,26380000000.0,,
Cash Flow From Continuing Operating Activities,28858000000.0,22690000000.0,39895000000.0,21598000000.0,26380000000.0,,
Change In Working Capital,1684000000.0,-5764000000.0,1123000000.0,-6060000000.0,749000000.0,,
Change In Other Working Capital,,,,,,,131000000.0
Change In Other Current Liabilities,3439000000.0,428000000.0,-3865000000.0,45000000.0,1229000000.0,,
Change In Other Current Assets,-1188000000.0,-2981000000.0,-1457000000.0,-821000000.0,-771000000.0,,
Change In Payables And Accrued Expense,1539000000.0,-12168000000.0,-4542000000.0,14901000000.0,3974000000.0,,
Change In Payable,1539000000.0,-12168000000.0,-4542000000.0,14901000000.0,3974000000.0,,
Change In Account Payable,1539000000.0,-12168000000.0,-4542000000.0,14901000000.0,3974000000.0,,
Change In Inventory,-12000000.0,190000000.0,-137000000.0,952000000.0,-22000000.0,,
Change In Receivables,-2094000000.0,8767000000.0,11124000000.0,-21137000000.0,-3661000000.0,,
Changes In Account Receivables,-1030000000.0,1172000000.0,6555000000.0,-9297000000.0,-1987000000.0,,
Other Non Cash Items,7000000.0,-982000000.0,-989000000.0,-576000000.0,81000000.0,,
Stock Based Compensation,2869000000.0,2964000000.0,2997000000.0,2625000000.0,2617000000.0,,
Depreciation Amortization Depletion,2850000000.0,2836000000.0,2848000000.0,2653000000.0,3052000000.0,,
Depreciation And Amortization,2850000000.0,2836000000.0,2848000000.0,2653000000.0,3052000000.0,,
Net Income From Continuing Operations,21448000000.0,23636000000.0,33916000000.0,22956000000.0,19881000000.0,,
